tipo_vivienda;variación;periodo;total
General;Variación anual;2016T1;6,3
General;Variación anual;2015T4;4,2
General;Variación anual;2015T3;4,5
General;Variación anual;2015T2;4,0
General;Variación anual;2015T1;1,5
General;Variación anual;2014T4;1,8
General;Variación anual;2014T3;0,3
General;Variación anual;2014T2;0,8
General;Variación anual;2014T1;-1,6
General;Variación anual;2013T4;-7,8
General;Variación anual;2013T3;-7,9
General;Variación anual;2013T2;-12,0
General;Variación anual;2013T1;-14,3
General;Variación anual;2012T4;-12,8
General;Variación anual;2012T3;-15,2
General;Variación anual;2012T2;-14,4
General;Variación anual;2012T1;-12,6
General;Variación anual;2011T4;-11,2
General;Variación anual;2011T3;-7,4
General;Variación anual;2011T2;-6,8
General;Variación anual;2011T1;-4,1
General;Variación anual;2010T4;-1,9
General;Variación anual;2010T3;-2,2
General;Variación anual;2010T2;-0,9
General;Variación anual;2010T1;-2,9
General;Variación anual;2009T4;-4,3
General;Variación anual;2009T3;-7,0
General;Variación anual;2009T2;-7,7
General;Variación anual;2009T1;-7,6
General;Variación anual;2008T4;-5,4
General;Variación anual;2008T3;-3,0
General;Variación anual;2008T2;-0,3
General;Variación anual;2008T1;2,8
General;Variación anual;2007T4;5,7
General;Variación anual;2007T3;9,2
General;Variación anual;2007T2;11,6
General;Variación anual;2007T1;13,1
General;Variación en lo que va de año;2023T2;2,7
General;Variación en lo que va de año;2023T1;0,6
General;Variación en lo que va de año;2022T4;5,5
General;Variación en lo que va de año;2022T3;6,3
General;Variación en lo que va de año;2022T2;4,5
General;Variación en lo que va de año;2022T1;2,6
General;Variación en lo que va de año;2021T4;6,4
General;Variación en lo que va de año;2021T3;5,1
General;Variación en lo que va de año;2021T2;3,0
General;Variación en lo que va de año;2021T1;0,5
General;Variación en lo que va de año;2020T4;1,5
General;Variación en lo que va de año;2020T3;2,3
General;Variación en lo que va de año;2020T2;1,2
General;Variación en lo que va de año;2020T1;1,1
General;Variación en lo que va de año;2019T4;3,6
General;Variación en lo que va de año;2019T3;4,3
General;Variación en lo que va de año;2019T2;2,7
General;Variación en lo que va de año;2019T1;1,5
General;Variación en lo que va de año;2018T4;6,6
General;Variación en lo que va de año;2018T3;6,2
General;Variación en lo que va de año;2018T2;4,0
General;Variación en lo que va de año;2018T1;1,4
General;Variación en lo que va de año;2017T4;7,2
General;Variación en lo que va de año;2017T3;6,2
General;Variación en lo que va de año;2017T2;4,3
General;Variación en lo que va de año;2017T1;2,3
General;Variación en lo que va de año;2016T4;4,5
General;Variación en lo que va de año;2016T3;4,1
General;Variación en lo que va de año;2016T2;3,3
General;Variación en lo que va de año;2016T1;1,5
General;Variación en lo que va de año;2015T4;4,2
General;Variación en lo que va de año;2015T3;4,3
General;Variación en lo que va de año;2015T2;3,6
General;Variación en lo que va de año;2015T1;-0,6
General;Variación en lo que va de año;2014T4;1,8
General;Variación en lo que va de año;2014T3;1,6
General;Variación en lo que va de año;2014T2;1,4
General;Variación en lo que va de año;2014T1;-0,3
General;Variación en lo que va de año;2013T4;-7,8
General;Variación en lo que va de año;2013T3;-6,6
General;Variación en lo que va de año;2013T2;-7,3
General;Variación en lo que va de año;2013T1;-6,6
General;Variación en lo que va de año;2012T4;-12,8
General;Variación en lo que va de año;2012T3;-11,5
General;Variación en lo que va de año;2012T2;-8,1
General;Variación en lo que va de año;2012T1;-5,0
General;Variación en lo que va de año;2011T4;-11,2
General;Variación en lo que va de año;2011T3;-7,3
General;Variación en lo que va de año;2011T2;-4,6
General;Variación en lo que va de año;2011T1;-3,5
General;Variación en lo que va de año;2010T4;-1,9
General;Variación en lo que va de año;2010T3;-1,8
General;Variación en lo que va de año;2010T2;0,4
General;Variación en lo que va de año;2010T1;-1,2
General;Variación en lo que va de año;2009T4;-4,3
General;Variación en lo que va de año;2009T3;-4,0
General;Variación en lo que va de año;2009T2;-3,1
General;Variación en lo que va de año;2009T1;-2,7
General;Variación en lo que va de año;2008T4;-5,4
General;Variación en lo que va de año;2008T3;-2,3
General;Variación en lo que va de año;2008T2;-0,7
General;Variación en lo que va de año;2008T1;-0,4
General;Variación en lo que va de año;2007T4;5,7
General;Variación en lo que va de año;2007T3;6,5
General;Variación en lo que va de año;2007T2;5,3
General;Variación en lo que va de año;2007T1;2,4
Vivienda nueva;Índice;2023T2;165,263
Vivienda nueva;Índice;2023T1;162,514
Vivienda nueva;Índice;2022T4;157,801
Vivienda nueva;Índice;2022T3;154,931
Vivienda nueva;Índice;2022T2;153,510
Vivienda nueva;Índice;2022T1;153,365
Vivienda nueva;Índice;2021T4;148,640
Vivienda nueva;Índice;2021T3;145,073
Vivienda nueva;Índice;2021T2;141,088
Vivienda nueva;Índice;2021T1;139,321
Vivienda nueva;Índice;2020T4;140,144
Vivienda nueva;Índice;2020T3;139,400
Vivienda nueva;Índice;2020T2;133,093
Vivienda nueva;Índice;2020T1;136,156
Vivienda nueva;Índice;2019T4;129,523
Vivienda nueva;Índice;2019T3;129,720
Vivienda nueva;Índice;2019T2;127,787
Vivienda nueva;Índice;2019T1;128,285
Vivienda nueva;Índice;2018T4;123,044
Vivienda nueva;Índice;2018T3;121,645
Vivienda nueva;Índice;2018T2;119,235
Vivienda nueva;Índice;2018T1;116,249
Vivienda nueva;Índice;2017T4;113,902
Vivienda nueva;Índice;2017T3;114,619
Vivienda nueva;Índice;2017T2;112,835
Vivienda nueva;Índice;2017T1;110,016
Vivienda nueva;Índice;2016T4;106,098
Vivienda nueva;Índice;2016T3;107,605
Vivienda nueva;Índice;2016T2;108,105
Vivienda nueva;Índice;2016T1;104,284
Vivienda nueva;Índice;2015T4;101,678
Vivienda nueva;Índice;2015T3;100,328
Vivienda nueva;Índice;2015T2;99,726
Vivienda nueva;Índice;2015T1;98,268
Vivienda nueva;Índice;2014T4;96,120
Vivienda nueva;Índice;2014T3;96,210
Vivienda nueva;Índice;2014T2;95,083
Vivienda nueva;Índice;2014T1;94,496
Vivienda nueva;Índice;2013T4;94,356
Vivienda nueva;Índice;2013T3;95,459
Vivienda nueva;Índice;2013T2;93,275
Vivienda nueva;Índice;2013T1;95,538
Vivienda nueva;Índice;2012T4;102,554
Vivienda nueva;Índice;2012T3;103,702
Vivienda nueva;Índice;2012T2;106,796
Vivienda nueva;Índice;2012T1;109,595
Vivienda nueva;Índice;2011T4;115,139
Vivienda nueva;Índice;2011T3;120,016
Vivienda nueva;Índice;2011T2;122,445
Vivienda nueva;Índice;2011T1;124,259
Vivienda nueva;Índice;2010T4;125,903
Vivienda nueva;Índice;2010T3;126,395
Vivienda nueva;Índice;2010T2;129,118
Vivienda nueva;Índice;2010T1;126,703
Vivienda nueva;Índice;2009T4;128,647
Vivienda nueva;Índice;2009T3;129,710
Vivienda nueva;Índice;2009T2;131,365
Vivienda nueva;Índice;2009T1;132,281
Vivienda nueva;Índice;2008T4;135,526
Vivienda nueva;Índice;2008T3;137,382
Vivienda nueva;Índice;2008T2;136,652
Vivienda nueva;Índice;2008T1;134,966
Vivienda nueva;Índice;2007T4;134,449
Vivienda nueva;Índice;2007T3;132,475
Vivienda nueva;Índice;2007T2;129,748
Vivienda nueva;Índice;2007T1;125,956
Vivienda nueva;Variación trimestral;2023T2;1,7
Vivienda nueva;Variación trimestral;2023T1;3,0
Vivienda nueva;Variación trimestral;2022T4;1,9
Vivienda nueva;Variación trimestral;2022T3;0,9
Vivienda nueva;Variación trimestral;2022T2;0,1
Vivienda nueva;Variación trimestral;2022T1;3,2
Vivienda nueva;Variación trimestral;2021T4;2,5
Vivienda nueva;Variación trimestral;2021T3;2,8
Vivienda nueva;Variación trimestral;2021T2;1,3
Vivienda nueva;Variación trimestral;2021T1;-0,6
Vivienda nueva;Variación trimestral;2020T4;0,5
Vivienda nueva;Variación trimestral;2020T3;4,7
Vivienda nueva;Variación trimestral;2020T2;-2,2
Vivienda nueva;Variación trimestral;2020T1;5,1
Vivienda nueva;Variación trimestral;2019T4;-0,2
Vivienda nueva;Variación trimestral;2019T3;1,5
Vivienda nueva;Variación trimestral;2019T2;-0,4
Vivienda nueva;Variación trimestral;2019T1;4,3
Vivienda nueva;Variación trimestral;2018T4;1,2
Vivienda nueva;Variación trimestral;2018T3;2,0
Vivienda nueva;Variación trimestral;2018T2;2,6
Vivienda nueva;Variación trimestral;2018T1;2,1
Vivienda nueva;Variación trimestral;2017T4;-0,6
Vivienda nueva;Variación trimestral;2017T3;1,6
Vivienda nueva;Variación trimestral;2017T2;2,6
Vivienda nueva;Variación trimestral;2017T1;3,7
Vivienda nueva;Variación trimestral;2016T4;-1,4
Vivienda nueva;Variación trimestral;2016T3;-0,5
Vivienda nueva;Variación trimestral;2016T2;3,7
Vivienda nueva;Variación trimestral;2016T1;2,6
Vivienda nueva;Variación trimestral;2015T4;1,3
Vivienda nueva;Variación trimestral;2015T3;0,6
Vivienda nueva;Variación trimestral;2015T2;1,5
Vivienda nueva;Variación trimestral;2015T1;2,2
Vivienda nueva;Variación trimestral;2014T4;-0,1
Vivienda nueva;Variación trimestral;2014T3;1,2
Vivienda nueva;Variación trimestral;2014T2;0,6
Vivienda nueva;Variación trimestral;2014T1;0,1
Vivienda nueva;Variación trimestral;2013T4;-1,2
Vivienda nueva;Variación trimestral;2013T3;2,3
Vivienda nueva;Variación trimestral;2013T2;-2,4
Vivienda nueva;Variación trimestral;2013T1;-6,8
Vivienda nueva;Variación trimestral;2012T4;-1,1
Vivienda nueva;Variación trimestral;2012T3;-2,9
Vivienda nueva;Variación trimestral;2012T2;-2,6
Vivienda nueva;Variación trimestral;2012T1;-4,8
Vivienda nueva;Variación trimestral;2011T4;-4,1
Vivienda nueva;Variación trimestral;2011T3;-2,0
Vivienda nueva;Variación trimestral;2011T2;-1,5
Vivienda nueva;Variación trimestral;2011T1;-1,3
Vivienda nueva;Variación trimestral;2010T4;-0,4
Vivienda nueva;Variación trimestral;2010T3;-2,1
Vivienda nueva;Variación trimestral;2010T2;1,9
Vivienda nueva;Variación trimestral;2010T1;-1,5
Vivienda nueva;Variación trimestral;2009T4;-0,8
Vivienda nueva;Variación trimestral;2009T3;-1,3
Vivienda nueva;Variación trimestral;2009T2;-0,7
Vivienda nueva;Variación trimestral;2009T1;-2,4
Vivienda nueva;Variación trimestral;2008T4;-1,4
Vivienda nueva;Variación trimestral;2008T3;0,5
Vivienda nueva;Variación trimestral;2008T2;1,2
Vivienda nueva;Variación trimestral;2008T1;0,4
Vivienda nueva;Variación trimestral;2007T4;1,5
Vivienda nueva;Variación trimestral;2007T3;2,1
Vivienda nueva;Variación trimestral;2007T2;3,0
Vivienda nueva;Variación trimestral;2007T1;2,9
Vivienda nueva;Variación anual;2023T2;7,7
Vivienda nueva;Variación anual;2023T1;6,0
Vivienda nueva;Variación anual;2022T4;6,2
Vivienda nueva;Variación anual;2022T3;6,8
Vivienda nueva;Variación anual;2022T2;8,8
Vivienda nueva;Variación anual;2022T1;10,1
Vivienda nueva;Variación anual;2021T4;6,1
Vivienda nueva;Variación anual;2021T3;4,1
Vivienda nueva;Variación anual;2021T2;6,0
Vivienda nueva;Variación anual;2021T1;2,3
Vivienda nueva;Variación anual;2020T4;8,2
Vivienda nueva;Variación anual;2020T3;7,5
Vivienda nueva;Variación anual;2020T2;4,2
Vivienda nueva;Variación anual;2020T1;6,1
Vivienda nueva;Variación anual;2019T4;5,3
Vivienda nueva;Variación anual;2019T3;6,6
Vivienda nueva;Variación anual;2019T2;7,2
Vivienda nueva;Variación anual;2019T1;10,4
Vivienda nueva;Variación anual;2018T4;8,0
Vivienda nueva;Variación anual;2018T3;6,1
Vivienda nueva;Variación anual;2018T2;5,7
Vivienda nueva;Variación anual;2018T1;5,7
Vivienda nueva;Variación anual;2017T4;7,4
Vivienda nueva;Variación anual;2017T3;6,5
Vivienda nueva;Variación anual;2017T2;4,4
Vivienda nueva;Variación anual;2017T1;5,5
Vivienda nueva;Variación anual;2016T4;4,3
Vivienda nueva;Variación anual;2016T3;7,3
Vivienda nueva;Variación anual;2016T2;8,4
Vivienda nueva;Variación anual;2016T1;6,1
Vivienda nueva;Variación anual;2015T4;5,8
Vivienda nueva;Variación anual;2015T3;4,3
Vivienda nueva;Variación anual;2015T2;4,9
Vivienda nueva;Variación anual;2015T1;4,0
Vivienda nueva;Variación anual;2014T4;1,9
Vivienda nueva;Variación anual;2014T3;0,8
Vivienda nueva;Variación anual;2014T2;1,9
Vivienda nueva;Variación anual;2014T1;-1,1
Vivienda nueva;Variación anual;2013T4;-8,0
Vivienda nueva;Variación anual;2013T3;-7,9
Vivienda nueva;Variación anual;2013T2;-12,7
Vivienda nueva;Variación anual;2013T1;-12,8
Vivienda nueva;Variación anual;2012T4;-10,9
Vivienda nueva;Variación anual;2012T3;-13,6
Vivienda nueva;Variación anual;2012T2;-12,8
Vivienda nueva;Variación anual;2012T1;-11,8
Vivienda nueva;Variación anual;2011T4;-8,5
Vivienda nueva;Variación anual;2011T3;-5,0
Vivienda nueva;Variación anual;2011T2;-5,2
Vivienda nueva;Variación anual;2011T1;-1,9
Vivienda nueva;Variación anual;2010T4;-2,1
Vivienda nueva;Variación anual;2010T3;-2,6
Vivienda nueva;Variación anual;2010T2;-1,7
Vivienda nueva;Variación anual;2010T1;-4,2
Vivienda nueva;Variación anual;2009T4;-5,1
Vivienda nueva;Variación anual;2009T3;-5,6
Vivienda nueva;Variación anual;2009T2;-3,9
Vivienda nueva;Variación anual;2009T1;-2,0
Vivienda nueva;Variación anual;2008T4;0,8
Vivienda nueva;Variación anual;2008T3;3,7
Vivienda nueva;Variación anual;2008T2;5,3
Vivienda nueva;Variación anual;2008T1;7,2
Vivienda nueva;Variación anual;2007T4;9,8
Vivienda nueva;Variación anual;2007T3;11,4
Vivienda nueva;Variación anual;2007T2;13,3
Vivienda nueva;Variación anual;2007T1;13,3
Vivienda nueva;Variación en lo que va de año;2023T2;4,7
Vivienda nueva;Variación en lo que va de año;2023T1;3,0
Vivienda nueva;Variación en lo que va de año;2022T4;6,2
Vivienda nueva;Variación en lo que va de año;2022T3;4,2
Vivienda nueva;Variación en lo que va de año;2022T2;3,3
Vivienda nueva;Variación en lo que va de año;2022T1;3,2
Vivienda nueva;Variación en lo que va de año;2021T4;6,1
Vivienda nueva;Variación en lo que va de año;2021T3;3,5
Vivienda nueva;Variación en lo que va de año;2021T2;0,7
Vivienda nueva;Variación en lo que va de año;2021T1;-0,6
Vivienda nueva;Variación en lo que va de año;2020T4;8,2
Vivienda nueva;Variación en lo que va de año;2020T3;7,6
Vivienda nueva;Variación en lo que va de año;2020T2;2,8
Vivienda nueva;Variación en lo que va de año;2020T1;5,1
Vivienda nueva;Variación en lo que va de año;2019T4;5,3
Vivienda nueva;Variación en lo que va de año;2019T3;5,4
Vivienda nueva;Variación en lo que va de año;2019T2;3,9
Vivienda nueva;Variación en lo que va de año;2019T1;4,3
Vivienda nueva;Variación en lo que va de año;2018T4;8,0
Vivienda nueva;Variación en lo que va de año;2018T3;6,8
Vivienda nueva;Variación en lo que va de año;2018T2;4,7
Vivienda nueva;Variación en lo que va de año;2018T1;2,1
Vivienda nueva;Variación en lo que va de año;2017T4;7,4
Vivienda nueva;Variación en lo que va de año;2017T3;8,0
Vivienda nueva;Variación en lo que va de año;2017T2;6,3
Vivienda nueva;Variación en lo que va de año;2017T1;3,7
Vivienda nueva;Variación en lo que va de año;2016T4;4,3
Vivienda nueva;Variación en lo que va de año;2016T3;5,8
Vivienda nueva;Variación en lo que va de año;2016T2;6,3
Vivienda nueva;Variación en lo que va de año;2016T1;2,6
Vivienda nueva;Variación en lo que va de año;2015T4;5,8
Vivienda nueva;Variación en lo que va de año;2015T3;4,4
Vivienda nueva;Variación en lo que va de año;2015T2;3,8
Vivienda nueva;Variación en lo que va de año;2015T1;2,2
Vivienda nueva;Variación en lo que va de año;2014T4;1,9
Vivienda nueva;Variación en lo que va de año;2014T3;2,0
Vivienda nueva;Variación en lo que va de año;2014T2;0,8
Vivienda nueva;Variación en lo que va de año;2014T1;0,1
Vivienda nueva;Variación en lo que va de año;2013T4;-8,0
Vivienda nueva;Variación en lo que va de año;2013T3;-6,9
Vivienda nueva;Variación en lo que va de año;2013T2;-9,0
Vivienda nueva;Variación en lo que va de año;2013T1;-6,8
Vivienda nueva;Variación en lo que va de año;2012T4;-10,9
Vivienda nueva;Variación en lo que va de año;2012T3;-9,9
Vivienda nueva;Variación en lo que va de año;2012T2;-7,2
Vivienda nueva;Variación en lo que va de año;2012T1;-4,8
Vivienda nueva;Variación en lo que va de año;2011T4;-8,5
Vivienda nueva;Variación en lo que va de año;2011T3;-4,7
Vivienda nueva;Variación en lo que va de año;2011T2;-2,7
Vivienda nueva;Variación en lo que va de año;2011T1;-1,3
Vivienda nueva;Variación en lo que va de año;2010T4;-2,1
Vivienda nueva;Variación en lo que va de año;2010T3;-1,8
Vivienda nueva;Variación en lo que va de año;2010T2;0,4
Vivienda nueva;Variación en lo que va de año;2010T1;-1,5
Vivienda nueva;Variación en lo que va de año;2009T4;-5,1
Vivienda nueva;Variación en lo que va de año;2009T3;-4,3
Vivienda nueva;Variación en lo que va de año;2009T2;-3,1
Vivienda nueva;Variación en lo que va de año;2009T1;-2,4
Vivienda nueva;Variación en lo que va de año;2008T4;0,8
Vivienda nueva;Variación en lo que va de año;2008T3;2,2
Vivienda nueva;Variación en lo que va de año;2008T2;1,6
Vivienda nueva;Variación en lo que va de año;2008T1;0,4
Vivienda nueva;Variación en lo que va de año;2007T4;9,8
Vivienda nueva;Variación en lo que va de año;2007T3;8,2
Vivienda nueva;Variación en lo que va de año;2007T2;6,0
Vivienda nueva;Variación en lo que va de año;2007T1;2,9
Vivienda segunda mano;Índice;2023T2;143,710
Vivienda segunda mano;Índice;2023T1;140,665
Vivienda segunda mano;Índice;2022T4;140,353
Vivienda segunda mano;Índice;2022T3;142,339
Vivienda segunda mano;Índice;2022T2;139,707
Vivienda segunda mano;Índice;2022T1;136,511
Vivienda segunda mano;Índice;2021T4;133,292
Vivienda segunda mano;Índice;2021T3;132,009
Vivienda segunda mano;Índice;2021T2;129,522
Vivienda segunda mano;Índice;2021T1;126,153
Vivienda segunda mano;Índice;2020T4;125,222
Vivienda segunda mano;Índice;2020T3;126,580
Vivienda segunda mano;Índice;2020T2;125,875
Vivienda segunda mano;Índice;2020T1;125,280
Vivienda segunda mano;Índice;2019T4;124,720
Vivienda segunda mano;Índice;2019T3;125,623
Vivienda segunda mano;Índice;2019T2;123,659
Vivienda segunda mano;Índice;2019T1;121,970
Vivienda segunda mano;Índice;2018T4;120,656
Vivienda segunda mano;Índice;2018T3;120,321
Vivienda segunda mano;Índice;2018T2;117,752
Vivienda segunda mano;Índice;2018T1;114,810
Vivienda segunda mano;Índice;2017T4;113,384
Vivienda segunda mano;Índice;2017T3;112,131
Vivienda segunda mano;Índice;2017T2;110,064
Vivienda segunda mano;Índice;2017T1;107,983
Vivienda segunda mano;Índice;2016T4;105,803
Vivienda segunda mano;Índice;2016T3;105,084
Vivienda segunda mano;Índice;2016T2;104,045
Vivienda segunda mano;Índice;2016T1;102,533
Vivienda segunda mano;Índice;2015T4;101,241
Vivienda segunda mano;Índice;2015T3;101,534
Vivienda segunda mano;Índice;2015T2;100,852
Vivienda segunda mano;Índice;2015T1;96,373
Vivienda segunda mano;Índice;2014T4;97,379
Vivienda segunda mano;Índice;2014T3;97,131
Vivienda segunda mano;Índice;2014T2;97,119
Vivienda segunda mano;Índice;2014T1;95,321
Vivienda segunda mano;Índice;2013T4;95,713
Vivienda segunda mano;Índice;2013T3;96,992
Vivienda segunda mano;Índice;2013T2;96,893
Vivienda segunda mano;Índice;2013T1;96,996
Vivienda segunda mano;Índice;2012T4;103,724
Vivienda segunda mano;Índice;2012T3;105,430
Vivienda segunda mano;Índice;2012T2;110,242
Vivienda segunda mano;Índice;2012T1;114,514
Vivienda segunda mano;Índice;2011T4;120,666
Vivienda segunda mano;Índice;2011T3;126,055
Vivienda segunda mano;Índice;2011T2;130,805
Vivienda segunda mano;Índice;2011T1;132,007
Vivienda segunda mano;Índice;2010T4;139,816
Vivienda segunda mano;Índice;2010T3;139,455
Vivienda segunda mano;Índice;2010T2;142,599
Vivienda segunda mano;Índice;2010T1;140,838
Vivienda segunda mano;Índice;2009T4;142,127
Vivienda segunda mano;Índice;2009T3;141,958
Vivienda segunda mano;Índice;2009T2;142,616
Vivienda segunda mano;Índice;2009T1;142,815
Vivienda segunda mano;Índice;2008T4;147,259
Vivienda segunda mano;Índice;2008T3;154,722
Vivienda segunda mano;Índice;2008T2;160,557
Vivienda segunda mano;Índice;2008T1;163,288
Vivienda segunda mano;Índice;2007T4;164,973
Vivienda segunda mano;Índice;2007T3;169,259
Vivienda segunda mano;Índice;2007T2;168,847
Vivienda segunda mano;Índice;2007T1;164,358
Vivienda segunda mano;Variación trimestral;2023T2;2,2
Vivienda segunda mano;Variación trimestral;2023T1;0,2
Vivienda segunda mano;Variación trimestral;2022T4;-1,4
Vivienda segunda mano;Variación trimestral;2022T3;1,9
Vivienda segunda mano;Variación trimestral;2022T2;2,3
Vivienda segunda mano;Variación trimestral;2022T1;2,4
Vivienda segunda mano;Variación trimestral;2021T4;1,0
Vivienda segunda mano;Variación trimestral;2021T3;1,9
Vivienda segunda mano;Variación trimestral;2021T2;2,7
Vivienda segunda mano;Variación trimestral;2021T1;0,7
Vivienda segunda mano;Variación trimestral;2020T4;-1,1
Vivienda segunda mano;Variación trimestral;2020T3;0,6
Vivienda segunda mano;Variación trimestral;2020T2;0,5
Vivienda segunda mano;Variación trimestral;2020T1;0,4
Vivienda segunda mano;Variación trimestral;2019T4;-0,7
Vivienda segunda mano;Variación trimestral;2019T3;1,6
Vivienda segunda mano;Variación trimestral;2019T2;1,4
Vivienda segunda mano;Variación trimestral;2019T1;1,1
Vivienda segunda mano;Variación trimestral;2018T4;0,3
Vivienda segunda mano;Variación trimestral;2018T3;2,2
Vivienda segunda mano;Variación trimestral;2018T2;2,6
Vivienda segunda mano;Variación trimestral;2018T1;1,3
Vivienda segunda mano;Variación trimestral;2017T4;1,1
Vivienda segunda mano;Variación trimestral;2017T3;1,9
Vivienda segunda mano;Variación trimestral;2017T2;1,9
Vivienda segunda mano;Variación trimestral;2017T1;2,1
